,weatherEnName,weatherKrName,menuName
0,Clear,맑음,쌈장 돼지고기 덮밥
1,Clear,맑음,된장돼지고기덮밥
2,Clear,맑음,돼지고기짬뽕국
3,Clear,맑음,흑돼지불고기
4,Clear,맑음,돼지고기짜글이
5,Clear,맑음,달래 돼지고기 생강구이
6,Clear,맑음,돼지불고기 마요볶음
7,Clear,맑음,견과류 뿌린 찹쌀돼지고기강정
8,Clear,맑음,굴소스대파돼지고기
9,Clear,맑음,가지 돼지불고기
10,Clear,맑음,돼지안심자몽구이
11,Clear,맑음,돼지양념갈비
12,Clear,맑음,돼지고기크림 찹스테이크
13,Clear,맑음,고추장 돼지고기주물럭
14,Clear,맑음,돼지불고기
15,Clear,맑음,뿌리채소 돼지고기조림
16,Clear,맑음,돼지고기김치찜
17,Cloud,구름,물만두 콩나물국밥
18,Cloud,구름,영양 굴국밥
19,Cloud,구름,부추굴국밥
20,Cloud,구름,오징어콩나물국밥
21,Cloud,구름,매생이국밥
22,Cloud,구름,얼갈이배추국밥
23,Cloud,구름,오징어젓콩나물국밥
24,Wind,바람,늙은 호박 된장찌개
25,Wind,바람,애호박 고추장찌개
26,Wind,바람,어묵 두부찌개
27,Wind,바람,대파된장찌개
28,Wind,바람,소고기 고추장찌개
29,Wind,바람,대패쌈장찌개
30,Wind,바람,생멸치찌개
31,Wind,바람,달래된장찌개
32,Wind,바람,도루묵찌개
33,Wind,바람,짜글이 찌개
34,Wind,바람,강화도식 주꾸미된장찌개
35,Wind,바람,참치김치찌개
36,Wind,바람,순두부된장찌개
37,Wind,바람,원조 부대찌개
38,Wind,바람,얼큰 가지찌개
39,Wind,바람,호박고추장찌개
40,Wind,바람,순두부김치찌개
41,Wind,바람,쌈장김치찌개
42,Wind,바람,북어매운찌개
43,Wind,바람,동태찌개
44,Wind,바람,얼큰 두부찌개
45,Wind,바람,새우젓비지찌개
46,Wind,바람,명란젓비지찌개
47,Wind,바람,백순두부찌개
48,Wind,바람,쌈장목살찌개
49,Wind,바람,오징어고추장찌개
50,Wind,바람,조갯살고추장찌개
51,Wind,바람,명란순두부찌개
52,Wind,바람,비지찌개
53,Wind,바람,매운닭고기찌개
54,Rain,비,낙지젓 파전
55,Rain,비,무채부침개
56,Rain,비,세발나물 새우부침개
57,Rain,비,미역홍합부침개
58,Rain,비,만두조림 & 만두부침개
59,Rain,비,삼각김밥누룽지전
60,Rain,비,무전
61,Rain,비,고구마채전
62,Rain,비,양배추 달걀전
63,Rain,비,못난이 가지전
64,Rain,비,낙지젓 파전
65,Rain,비,늙은호박전
66,Rain,비,오징어젓전
67,Rain,비,버섯김치전
68,Rain,비,참나물샐러드를 곁들인 육전
69,Rain,비,버섯전
70,Rain,비,감자전
71,Snow,눈,장어전골
72,Snow,눈,양배추치즈전골
73,Snow,눈,냉이 버섯전골
74,Snow,눈,총알오징어버섯전골
75,Snow,눈,양고기전골
76,Snow,눈,해물전골
77,Snow,눈,두부배추전골
78,Snow,눈,만두전골
79,Snow,눈,굴전골
80,Snow,눈,구운두부전골
81,Snow,눈,김치만두전골
82,Snow,눈,잡채유부주머니전골
83,Snow,눈,쇠고기완자 배추전골
84,Fog,안개,갈비찜 치즈덮밥
85,Fog,안개,매콤가지찜
86,Fog,안개,전자레인지달걀찜
87,Fog,안개,시금치페스토 꼬막찜
88,Fog,안개,미나리 생콩가루찜
89,Fog,안개,찹쌀 마늘종찜
90,Fog,안개,갈치찜
91,Fog,안개,부추콩가루찜
92,Fog,안개,연근양송이달걀찜
93,Fog,안개,콩가루고추멸치찜
94,Fog,안개,시래기꽁치찜
95,Fog,안개,차돌박이 알배추찜
96,Fog,안개,개성식 무닭찜
97,Fog,안개,매운 갈비찜
98,Fog,안개,오이찜닭
99,Fog,안개,베이컨감자찜
100,Fog,안개,콜라찜닭
101,Fog,안개,바지락찜
102,Fog,안개,굴 콩나물찜
103,Fog,안개,대패삼겹살숙주찜
104,Fog,안개,간장 새우찜
105,Fog,안개,콩나물 꽃게찜
106,Fog,안개,오만둥이콩나물찜
107,Fog,안개,밥달걀찜
108,Fog,안개,등갈비 묵은지찜
109,Fog,안개,양파삼겹살찜
110,Fog,안개,조개콩나물찜
111,Fog,안개,등갈비찜
112,Fog,안개,꽈리고추찜
113,Fog,안개,중국식 생선찜
114,Fog,안개,삼겹살묵은지찜
115,Fog,안개,매운 톳떡찜
116,Fog,안개,시금치달걀찜
117,Fog,안개,토마토찜닭
118,Fog,안개,삼치양념찜
119,Fog,안개,매운 황태닭찜
120,Fog,안개,조기찜
121,Fog,안개,낙지갈비찜
122,Fog,안개,미나리달걀찜
123,Fog,안개,해물찜
124,Fog,안개,마소스 가자미찜
125,Fog,안개,순대버섯 콩나물찜
126,Fog,안개,돼지고기김치찜
127,Hail,우박,주꾸미샤브샤브
128,Hail,우박,쌈채소 샤브샤브
129,Hail,우박,쇠고기 샤브샤브
130,Tropical Night,열대야,한방오리백숙
131,Heat Wave,폭염,참외냉국
132,Heat Wave,폭염,오이토마토냉국
133,Heat Wave,폭염,콩나물냉국
134,Heat Wave,폭염,된장 가지냉국
135,Heat Wave,폭염,노각 냉국
136,Heat Wave,폭염,복숭아 냉국
137,Heat Wave,폭염,오이미역냉국
138,Heat Wave,폭염,가지냉국
139,Cold Wave,한파,꽁치추어탕
140,Cold Wave,한파,고구마 닭볶음탕
141,Cold Wave,한파,전복삼계탕
142,Cold Wave,한파,백합 맑은탕
143,Cold Wave,한파,고추냉이 초계탕
144,Cold Wave,한파,문어 매운탕
145,Cold Wave,한파,주꾸미연포탕
146,Cold Wave,한파,얼큰 어묵탕
147,Cold Wave,한파,건새우순두부탕
148,Cold Wave,한파,민물새우탕
149,Cold Wave,한파,얼큰 낙지탕
150,Cold Wave,한파,마늘 조개탕
151,Cold Wave,한파,갈비탕
152,Cold Wave,한파,뼈 없는 시래기감자탕
153,Cold Wave,한파,맑은 생태탕
154,Cold Wave,한파,들깨토란탕
155,Cold Wave,한파,맑은 꽃게탕
156,Cold Wave,한파,얼큰 꼬막탕
157,Cold Wave,한파,닭곰탕
158,Cold Wave,한파,얼큰홍합탕
159,Cold Wave,한파,새우콩나물탕
160,Cold Wave,한파,낙지불고기매운탕
161,Cold Wave,한파,모시조개탕
162,Cold Wave,한파,부추닭고기 물만두탕
163,Cold Wave,한파,새우두부완자탕
164,Cold Wave,한파,삼계탕
165,Cold Wave,한파,버섯닭볶음탕
166,Cold Wave,한파,고추장번데기탕
167,Cold Wave,한파,감자탕
168,Cold Wave,한파,조개달걀탕
169,Cold Wave,한파,미더덕어묵탕
170,Cold Wave,한파,장조림탕국
171,Cold Wave,한파,주꾸미매운탕
172,Cold Wave,한파,버섯매운탕
173,Cold Wave,한파,쇠고기부추들깨탕
174,Cold Wave,한파,맑은 버섯두부탕
175,Cold Wave,한파,꽃게어묵탕
176,Cold Wave,한파,경상도식 탕국
177,Cold Wave,한파,닭고기참깨탕
178,Cold Wave,한파,얼큰 절편어묵탕
179,Cold Wave,한파,조개탕 수제비
180,Cold Wave,한파,얼큰누룽지탕
181,Cold Wave,한파,맥주조개탕
182,Cold Wave,한파,통마늘 만두맛탕
183,Cold Wave,한파,장어탕수육
184,Cold Wave,한파,삼겹살그라탕
185,Cold Wave,한파,도토리묵탕수
186,Cold Wave,한파,묵은지 밀푀유나베
187,Cold Wave,한파,삼겹살밀푀유나베
